timeStamp,label,response_time,latency,error,throughput
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,TA341____Infra_Logs_By_last_24_hours,1567,585,200,2774637
1.73E+12,A351_Logs_7Days_/logsrql/api/v7/tenants//logs?query=&limit,1627,677,200,943422
1.73E+12,TA352____Infra_Logs_By_last_7Days,0,0,200,1288
1.73E+12,A353_Logs_7Days_/logsrql/api/v7/tenants/logs/count,2446,907,200,599
1.73E+12,A352_Logs_7Days_/logsrql/api/v7/tenants//logs/labels,2446,907,200,689
1.73E+12,TA354____last_7Days_With_1_Label_Filter,0,0,200,936081
1.73E+12,A354_Logs_7Days_/logsrql/api/v7/tenants/logs/count,2259,1356,200,599
1.73E+12,A355_Logs_7Days_/logsrql/api/v7/tenants//logs,22243,1356,200,935482
1.73E+12,TA356____last_7Days_With_2_Label_Filter,0,0,200,936053
1.73E+12,A356_Logs_7Days_/logsrql/api/v7/tenants/logs/count,1797,918,200,599
1.73E+12,A357_Logs_24Hour_/logsrql/api/v7/tenants//logs,21245,893,200,935454
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,TA351____Infra_Logs_By_last_7Days,1627,677,200,2816958
1.73E+12,A212__LogOut_/logout,917,596,200,728
1.73E+12,TA211____LogOut,917,596,200,728
1.73E+12,A201_LaunchPage,3442,1099,200,9855
1.73E+12,TA201____Infra__Launch_Page,3442,1099,200,9855
1.73E+12,A202_Login_/tenancy/web/login,7790,0,200,12455
1.73E+12,A202_Login_/tenancy/web/login-0,7790,0,200,851
1.73E+12,A202_Login_/tenancy/web/login-1,1490,0,200,4597
1.73E+12,A202_Login_/tenancy/web/login-2,416,0,200,440
1.73E+12,A202_Login_/tenancy/web/login-3,898,0,200,743
1.73E+12,A202_Login_/tenancy/web/login-4,375,0,200,5824
1.73E+12,A203_Login_/api/v2/users/me,572,0,200,6784
1.73E+12,TA204____Login_bzm - Parallel Controller,0,0,200,20154
1.73E+12,A206_Login_/api/v2/navigation/menu,2107,1019,200,5640
1.73E+12,A205_Login_/api/v2/tenants//featureset?rndId=,1972,1018,200,3621
1.73E+12,A208_Login_/api/v2/tenants//customBranding?rndId=&cascade=true,2348,1671,200,1032
1.73E+12,A207_Login_/clients.json?mspId=&_ajax=true,1322,1019,200,9861
1.73E+12,A209_Login_//api/v2/tenants/b820426a-3dd2-4190-7f37-9c0085c6bdfe,1481,625,200,6732
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,TA202____Infra__Login_Page,9843,625,200,46239
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate,329,0,200,9861
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-0,329,0,200,673
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-1,336,0,200,505
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-2,1980,0,200,896
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-3,1513,0,200,869
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-4,475,0,200,351
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-5,705,0,200,743
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-6,387,0,200,5824
1.73E+12,A215_SelectClient_/api/v2/tenants/client/d9e7f806-98aa-a155-8571-1fd205ec2db0,671,0,200,5330
1.73E+12,TA214____Infra_Select_Client,1000,0,200,15305
1.73E+12,A301_Logs_LandingPage_/infra-ui/logs,307,0,200,2707
1.73E+12,A302_Logs_LandingPage_/api/v2/users/me?rndId=,621,0,200,6784
1.73E+12,TA303____Logs_LandingPage - bzm - Parallel Controller,0,0,200,20154
1.73E+12,A306_Logs_LandingPage_/api/v2/tenants//customBranding?rndId=&cascade=true,1395,850,200,1032
1.73E+12,A304_Logs_LandingPage_/api/v2/navigation/menu?rndId=null,1540,926,200,5640
1.73E+12,A303_Logs_LandingPage_/api/v2/tenants//featureset?rndId=,1633,926,200,3621
1.73E+12,A305_Logs_LandingPage_/clients.json?mspId=&_ajax=true,1281,926,200,9861
1.73E+12,TA307____Logs_LandingPage - bzm - Parallel Controller,0,0,200,14127
1.73E+12,A308_Logs_LandingPage_/infra-ui/asset-manifest.json?rndId=,1213,928,200,4266
1.73E+12,A307_Logs_LandingPage_/client.do?action=contextUpdate&clientId=&_ajax=true,1228,941,200,9861
1.73E+12,A309_Logs_LandingPage_/api/v2/tenants/client/d17725c6-5310-42b0-aac6-613040ac83ec,1198,600,200,5330
1.73E+12,A310_Logs_LandingPage_/api/v2/users/me/views/default?entityType=log,536,0,200,868
1.73E+12,A311_Logs_LandingPage_/logsrql/api/v7/tenants//retention_policy,3891,0,200,580
1.73E+12,TA312____Logs_LandingPage - bzm - Parallel Controller,0,0,200,1310
1.73E+12,"A313_Logs_LandingPage_/opsql/api/v7/tenants//queries--""objectType"":""alert""",1492,979,200,719
1.73E+12,A312_Logs_LandingPage_/logsrql/api/v7/tenants//logs?query=&limit=51&start=1713158091813000000&end=1713159891813000000,1492,979,200,591
1.73E+12,TA314____Logs_LandingPage - bzm - Parallel Controller,0,0,200,1288
1.73E+12,A315_Logs_LandingPage_/logsrql/api/v7/tenants//logs/count?query=&step=30,1356,940,200,599
1.73E+12,A314_Logs_LandingPage_/logsrql/api/v7/tenants/logs/labels?start=,1465,929,200,689
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,TA301____Infra_Logs_LandingPage,6553,600,200,53262
1.73E+12,TA316____last_30min_With_1_Label_Filter,0,0,200,1190
1.73E+12,A317_Logs_30Min_/logsrql/api/v7/tenants//logs,1456,989,200,591
1.73E+12,A316_Logs_30Min_/logsrql/api/v7/tenants/logs/count,3040,989,200,599
1.73E+12,TA318____last_30Min_With_2_Label_Filter,0,0,200,1190
1.73E+12,A319_Logs_30Min_/logsrql/api/v7/tenants//logs,1362,918,200,591
1.73E+12,A318_Logs_30Min_/logsrql/api/v7/tenants/logs/count,1557,919,200,599
1.73E+12,A320_Logs_1Hour_/logsrql/api/v7/tenants//logs?query=&limit,1106,624,200,591
1.73E+12,TA321____Infra_Logs_By_last_1_hours,0,0,200,1288
1.73E+12,A322_Logs_1Hour_/logsrql/api/v7/tenants/logs/count,2530,2122,200,599
1.73E+12,A321_Logs_1Hour_/logsrql/api/v7/tenants//logs/labels,2571,2053,200,689
1.73E+12,TA323____last_1_hours_With_1_Label_Filter,0,0,200,1190
1.73E+12,A324_Logs_1Hour_/logsrql/api/v7/tenants//logs,1409,1001,200,591
1.73E+12,A323_Logs_1Hour_/logsrql/api/v7/tenants/logs/count,1621,1001,200,599
1.73E+12,TA325____last_1_hours_With_2_Label_Filter,0,0,200,1190
1.73E+12,A326_Logs_1Hour_/logsrql/api/v7/tenants//logs,1466,955,200,591
1.73E+12,A325_Logs_1Hour_/logsrql/api/v7/tenants/logs/count,1567,955,200,599
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,TA320____Infra_Logs_By_last_1_hours,1106,624,200,4373
1.73E+12,A327_Logs_4Hour_/logsrql/api/v7/tenants//logs?query=&limit,1648,604,200,943430
1.73E+12,TA328____Infra_Logs_By_last_4_hours,0,0,200,1288
1.73E+12,A328_Logs_4Hour_/logsrql/api/v7/tenants/logs/count,1398,943,200,599
1.73E+12,A328_Logs_4Hour_/logsrql/api/v7/tenants//logs/labels,1526,943,200,689
1.73E+12,TA329____last_4_hours_With_1_Label_Filter,0,0,200,370943
1.73E+12,A329_Logs_4Hour_/logsrql/api/v7/tenants/logs/count,1907,993,200,599
1.73E+12,A330_Logs_4Hour_/logsrql/api/v7/tenants//logs,3342,925,200,370344
1.73E+12,TA331____last_4_hours_With_2_Label_Filter,0,0,200,371035
1.73E+12,A331_Logs_4Hour_/logsrql/api/v7/tenants/logs/count,1400,910,200,599
1.73E+12,A332_Logs_4Hour_/logsrql/api/v7/tenants//logs,3405,910,200,370436
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,TA327____Infra_Logs_By_last_4_hours,1648,604,200,1686810
1.73E+12,A334_Logs_8Hour_/logsrql/api/v7/tenants//logs?query=&limit,1611,626,200,943423
1.73E+12,TA335____Infra_Logs_By_last_8_hours,0,0,200,1288
1.73E+12,A336_Logs_8Hour_/logsrql/api/v7/tenants/logs/count,1363,922,200,599
1.73E+12,A335_Logs_8Hour_/logsrql/api/v7/tenants//logs/labels,1487,922,200,689
1.73E+12,TA337____last_8_hours_With_1_Label_Filter,0,0,200,912233
